,winpercent, oppwinpercent, weather, temperature, numinjured, oppnuminjured, startingpitcher, oppstartingpitcher, dayssincegame, oppdayssincegame, homeaway, rundifferential, opprundifferential,winner
36441,?,0.457741035,-1,62.01094808,2,1,2,5,3,4,0,58,21,1
36442,0.471476578,0.453292424,0,59.32923187,2,2,1,2,4,1,0,62,71,1
36443,0.883154424,0.718757548,-1,58.12137072,1,1,4,1,3,0,0,47,37,1
36446,0.355980296,0.736887824,-1,73.3565359,2,2,1,3,2,2,0,39,57,1
36447,0.093979833,0.366438393,0,74.17419645,1,0,1,5,3,3,1,62,81,1
36448,0.373859521,0.242689276,0,58.96642275,2,1,3,5,3,2,1,45,27,1
36449,-0.063888165,0.150648977,-1,62.8287688,3,3,4,4,3,2,0,33,32,1
36450,0.315901957,0.236144956,0,59.94001409,1,1,5,2,2,1,0,52,61,1
36451,0.422546222,0.491154039,1,66.46243247,2,1,5,4,3,1,0,63,45,1
36454,0.138332246,0.437968311,-1,73.34128144,3,2,3,1,2,4,1,46,27,1
36458,0.219230734,0.274814578,1,72.87531381,1,1,1,?,2,3,0,49,47,1
36459,0.528578258,0.666592509,0,55.83977295,3,1,2,2,?,3,0,31,15,1
36460,0.319315215,0.719022501,0,69.62440939,2,1,1,2,5,3,1,33,62,1
36461,?,0.520744533,0,?,1,0,3,5,2,3,1,32,47,1
36464,0.58152325,0.541538961,-1,71.75975797,5,0,3,1,1,3,1,55,62,1
36465,0.564909858,0.376353339,-1,53.1051005,1,2,?,5,?,-1,0,90,54,1
36468,1.023210433,0.604994087,0,52.98556016,0,0,1,4,?,2,0,48,24,1
36469,0.563108936,0.539158294,1,64.32927406,1,3,2,2,1,5,1,80,10,1
36471,0.268795629,0.483631812,?,59.74718701,1,1,3,?,2,2,1,51,40,1
36472,0.780198923,0.529753988,0,63.82280828,3,3,1,4,4,2,1,28,42,1
36473,0.464219499,0.875252189,1,70.29056978,1,1,4,3,1,1,0,45,35,1
36474,0.302339001,0.482305606,-1,64.91121032,?,?,3,?,3,3,0,28,51,1
36475,0.40877265,0.864337025,-1,62.93968235,2,0,1,3,3,3,0,?,38,1
36476,0.699943542,?,1,61.96258804,2,1,4,5,2,3,1,52,37,1
36478,0.326476534,0.488208047,1,58.63148753,3,2,5,1,3,3,1,14,39,1
36483,0.328337827,0.418029353,1,71.95184626,1,2,2,3,4,1,1,96,57,1
36485,?,?,1,64.82352198,0,1,3,?,?,1,0,65,2,1
36486,0.473847632,0.418536615,-1,57.32811681,2,2,5,1,3,3,1,66,69,1
36489,0.549544748,0.618046116,0,72.77791102,3,1,4,2,2,3,0,36,41,1
36491,0.5110125,0.275934815,1,60.50935112,2,0,3,2,3,2,1,96,73,1
36494,0.473675607,0.455855402,0,75.24877477,2,2,5,1,3,3,1,63,31,1
36495,0.670296758,0.197345799,1,62.48884275,2,2,3,3,3,2,1,71,16,1
36496,0.521959853,0.840774067,?,?,2,3,4,4,3,3,0,48,20,1
36497,0.119805156,0.524779696,1,71.34509501,1,1,4,1,4,2,0,52,54,1
36498,0.711248559,0.468149048,0,69.07961149,2,1,3,5,3,?,0,43,35,1
36499,0.805886705,0.799351261,0,67.61682195,2,1,2,1,3,3,0,?,38,1
36500,0.616462287,0.849471292,0,64.47662748,2,2,5,3,2,1,1,34,?,1
36503,0.607885532,0.763588807,-1,69.7059354,1,1,1,3,?,?,1,61,47,1
36505,0.498055363,0.296413548,0,67.51640562,1,1,1,4,4,3,?,26,43,1
36506,0.631707299,0.345996753,1,?,2,1,4,4,3,2,1,44,51,1
36508,0.411786378,0.496685858,-1,61.13289034,2,2,4,2,2,3,1,65,23,1
36509,0.477246627,0.472057814,-1,60.56425521,0,1,4,2,3,2,1,43,22,1
36510,0.706835164,0.556998096,0,55.14518496,3,2,2,3,2,2,1,57,75,1
36511,0.541874019,0.357531801,-1,66.19732634,4,1,2,1,3,1,0,50,?,1
36513,0.561450835,0.800396893,1,66.39923694,0,0,5,2,3,2,0,50,?,1
36515,0.278129661,0.886738736,0,68.88174833,1,?,3,5,2,3,0,35,36,1
36517,0.357434586,0.704629989,0,71.32352175,1,1,1,2,3,2,0,33,57,1
36519,0.513831994,0.780142202,1,61.23935658,2,1,4,1,3,2,0,57,44,1
36520,0.692517813,0.691995364,0,75.68197778,1,?,5,3,3,?,0,49,78,1
36521,0.364531024,0.555675439,-1,68.20715533,3,2,1,4,0,3,1,11,62,1
36523,0.329089041,0.237753789,0,71.43576719,1,0,2,1,2,3,1,58,52,1
36525,0.498308098,0.334969057,1,64.29022532,2,1,4,3,3,3,1,44,35,1
36527,0.401076025,0.842172583,1,67.29007523,1,1,5,1,2,3,0,91,36,1
36528,0.602560938,0.622011712,0,56.43505998,2,2,3,2,?,2,0,50,79,1
36530,0.387985146,0.830392422,-1,64.84218135,1,2,1,5,2,2,1,67,46,1
36531,0.624210232,0.451485207,-1,67.56837954,2,1,4,4,2,2,0,36,57,1
36532,0.464441325,0.273825558,1,65.45007442,3,2,5,5,3,1,0,28,42,1
36533,0.485279274,0.30616583,-1,57.14785751,1,0,1,5,3,2,1,39,72,1
36534,0.421104956,0.26966846,0,60.46720745,2,?,1,4,1,3,1,63,58,1
36536,0.630988725,0.506744669,-1,63.74311604,1,0,4,3,3,3,1,40,64,1
36537,0.589005216,0.332716294,1,72.21689409,2,2,2,4,4,3,1,21,67,1
36539,0.227221453,0.877228553,?,56.33124908,1,1,2,?,3,3,1,44,39,1
36540,0.654538492,0.313519129,1,57.37098441,0,?,4,2,3,1,0,78,35,1
36542,0.600375581,0.599485762,-1,59.12277644,3,3,2,?,3,?,0,30,38,1
36544,0.523773244,0.50078842,1,60.56619116,1,?,4,4,2,1,1,72,38,1
36545,?,0.589464935,?,59.22303254,3,2,4,3,0,2,0,64,82,1
36547,0.303170958,0.689399236,1,65.51062731,1,2,4,2,3,3,?,36,7,1
36548,0.802386142,0.533941338,-1,62.11957295,2,2,5,5,4,0,1,48,26,1
36549,0.110719371,0.43537265,-1,81.274938,1,1,1,3,1,1,0,42,76,1
36551,0.73957215,0.591414847,-1,58.38129539,3,1,3,4,5,3,1,11,70,1
36552,0.869019621,0.516516986,0,73.04327919,1,1,5,4,0,2,0,43,64,1
36553,?,0.364370497,1,77.69982091,1,0,3,?,3,3,0,35,51,1
36554,0.622915088,0.496518005,1,55.57856148,1,1,3,5,3,2,1,31,33,1
36556,0.637960625,0.597414274,-1,71.92153907,2,2,1,2,2,3,0,31,48,1
36557,0.215771734,0.492347401,?,68.70785875,3,?,1,1,3,3,1,37,31,1
36558,0.878679671,0.63735242,0,54.40381832,2,2,3,2,2,2,0,35,62,1
36560,0.639832162,0.688527798,0,65.49041725,2,2,2,2,3,2,0,79,42,1
36561,0.499894825,0.471009645,0,66.57450589,1,2,2,2,2,2,1,54,8,1
36562,?,0.800811501,-1,68.80046674,1,1,3,5,3,3,0,53,40,1
36563,0.393166426,0.294351698,?,75.15109764,0,1,2,5,3,2,0,51,9,1
36565,0.321213669,0.53952073,0,67.94443872,2,1,5,1,2,4,1,55,50,1
36567,0.230653984,0.529258037,-1,61.85159668,1,4,1,1,1,3,1,78,39,1
36570,0.507098599,0.256214235,0,63.35526618,1,1,4,2,1,3,0,63,31,1
36571,0.524419142,1.019512308,-1,63.91739953,3,1,2,4,3,3,1,?,39,1
36574,0.2398533,0.224551881,1,76.18491278,2,2,3,4,?,3,?,64,46,1
36575,0.275559393,0.315925899,1,62.96662624,1,0,4,2,1,3,1,10,89,1
36576,0.513004524,0.266593921,1,56.29728204,1,0,1,1,0,?,0,83,49,1
36577,0.317183593,0.375332549,?,55.52691076,3,3,5,2,?,2,1,?,66,1
36580,0.463938816,0.773729281,0,59.71796403,-2,-1,5,2,5,2,?,66,30,1
36582,0.225442328,0.366984504,?,?,3,3,5,1,1,3,?,?,53,1
36585,0.299801622,0.488114476,-1,59.50626283,2,2,2,5,2,4,0,77,28,1
36586,0.254345981,0.301195595,-1,62.10355226,1,1,5,3,?,3,1,43,73,1
36587,0.323936712,0.622804445,1,64.80394719,?,0,4,4,4,3,1,21,63,1
36588,0.54453238,0.633844871,-1,68.28105929,1,2,5,2,5,2,1,50,18,1
36589,?,0.541207433,0,59.34111044,2,1,2,2,3,5,1,51,72,1
36590,?,0.452684371,-1,53.45145836,2,2,?,1,2,4,0,20,71,1
36592,0.487821533,?,?,57.19050866,2,1,3,4,?,2,0,34,51,1
36593,0.274535885,0.485130543,1,71.85756512,2,1,5,4,2,5,0,64,21,1
36596,0.244117816,0.387709455,-1,64.51960241,2,2,3,2,2,2,1,20,75,1
36597,0.600542823,0.511717391,1,67.92130191,3,-1,1,1,2,3,0,59,48,1
36598,0.646308402,0.674199244,-1,67.77403435,2,?,5,4,2,2,1,63,50,1
36600,0.544190731,0.807614694,-1,69.59920365,0,1,4,4,2,3,1,25,12,1
36606,0.618870857,0.599727887,1,80.54920105,2,0,?,4,4,4,0,56,85,1
36607,0.167398241,0.425962305,-1,65.25583936,0,2,4,4,3,3,1,90,?,1
36608,0.659376021,0.853312707,-1,64.96718714,-1,0,3,?,1,3,1,37,1,1
36612,0.415292486,0.623369747,-1,68.24700844,2,0,5,5,2,3,1,45,53,1
36613,0.374485028,0.617469718,1,56.16734446,2,0,2,3,2,3,0,63,29,1
36614,-0.161833474,0.06167546,1,65.06199611,0,1,3,2,?,3,1,40,35,1
36616,0.360054964,0.484293919,0,61.05942167,1,1,2,5,?,?,0,44,73,1
36618,0.333353836,0.294614485,-1,72.94182878,3,1,2,1,2,3,0,2,42,1
36619,0.227668263,0.123294013,0,62.72475747,1,0,1,3,1,3,1,31,56,1
36620,0.739012961,0.553329967,0,76.17307245,2,1,1,2,2,4,0,69,51,1
36621,0.28751189,0.711828464,0,77.72239715,1,1,2,4,4,2,0,23,26,1
36622,0.659016243,?,-1,59.29203233,2,3,5,2,2,3,0,77,41,1
36623,0.225272968,0.478967753,-1,63.04486304,2,2,5,1,3,2,0,72,39,1
36624,0.246684789,0.780156874,-1,62.08756787,2,2,?,2,0,4,1,56,84,1
36628,0.649643682,0.266518,1,73.3434472,2,1,5,?,2,2,1,64,42,1
36630,0.410742749,0.501686939,?,63.42120441,4,2,5,2,2,4,1,61,29,1
36631,0.61035859,0.357903646,-1,65.98945976,2,1,5,3,3,3,0,52,60,1
36633,0.542127019,0.929375213,-1,80.20240414,1,1,?,2,2,2,1,35,79,1
36637,0.660008979,1.01191744,1,61.0524079,1,-1,1,4,3,3,1,29,46,1
36638,0.278291962,0.85518024,0,54.70209495,2,2,5,3,2,?,?,56,41,1
36639,0.393982617,0.533051436,1,63.16766581,2,0,3,4,3,2,1,38,54,1
36640,0.556096504,?,0,?,3,1,3,3,2,2,1,54,52,1
36641,0.724996161,0.104787347,0,79.75174497,1,1,5,1,2,3,0,29,-3,1
36642,0.501070085,0.448548712,0,52.42719799,1,2,5,3,3,1,1,71,24,1
36643,0.550836377,0.662603797,0,68.28836538,2,1,1,5,4,3,1,70,97,1
36645,0.508909654,0.580836862,-1,62.18770249,3,-1,5,4,3,3,1,38,61,1
36646,0.253753289,0.370585929,1,57.71319325,2,0,1,5,3,2,0,19,84,1
36647,0.325210524,0.729714035,1,74.67582204,?,1,5,4,3,3,0,18,28,1
36648,0.578292835,0.590093838,0,66.98524952,2,2,2,4,?,4,1,1,25,1
36649,0.092344084,0.389530011,0,68.94084439,4,2,3,5,2,3,1,43,0,1
36651,0.462747781,0.374515372,-1,63.6342368,3,2,3,4,2,3,1,43,54,1
36652,0.477674662,0.444323663,0,64.66821925,0,2,4,1,3,2,0,88,18,1
36653,0.159911782,0.480887649,-1,?,3,0,2,?,2,?,0,17,28,1
36656,0.516970096,0.4627141,-1,?,1,0,2,2,3,3,?,47,49,1
36657,0.3148232,0.25902182,-1,61.59760346,?,2,2,3,3,1,0,63,42,1
36658,0.507790067,0.666848579,1,81.3859087,3,1,2,2,3,2,0,58,69,1
36659,0.261620751,0.360597951,-1,46.40717301,?,1,1,1,?,3,1,73,28,1
36660,0.967472639,?,0,71.65567936,3,2,5,3,4,3,0,51,45,1
36661,0.173179569,0.275338796,-1,?,4,?,3,2,2,4,0,?,20,1
36662,0.591334188,0.636650638,-1,?,1,0,5,1,2,3,0,1,61,1
36663,0.541222003,0.616959739,1,62.62443766,0,0,4,2,2,4,0,40,20,1
36668,0.511822948,0.609429796,0,63.88172408,2,2,1,3,4,2,1,85,63,1
36670,0.326719256,0.305194162,-1,67.80831052,2,2,2,4,3,3,0,38,15,1
36671,0.444878191,?,-1,67.2186132,3,0,1,1,2,?,1,22,49,1
36673,0.73927449,0.549608766,-1,52.66240833,3,1,1,2,2,2,0,38,57,1
36676,0.371033791,0.764139464,-1,64.65928454,2,2,2,1,3,4,1,20,111,1
36677,0.290172559,0.479039267,0,71.53175321,1,0,5,5,3,2,0,38,43,1
36679,0.841278357,?,-1,61.45495606,2,2,5,4,4,3,0,72,61,1
36681,0.669321701,0.928566529,0,65.24051159,1,1,5,4,1,3,1,50,58,1
36682,0.723612904,0.478723248,1,57.95471809,2,1,1,2,?,5,1,55,62,1
36683,0.284434329,0.28430676,-1,68.62809051,2,2,4,3,3,3,0,60,51,1
36684,0.457910633,0.373062587,-1,70.41160449,2,1,5,5,2,?,0,43,81,1
36685,0.371708292,0.525917855,-1,74.74641647,2,1,4,3,3,1,0,42,72,1
36686,0.527116308,0.886840693,-1,?,3,3,1,4,3,2,1,31,?,1
36690,0.532236612,0.458345566,1,61.42278879,1,2,5,3,3,2,0,79,10,1
36697,0.370627988,1.002106087,1,66.56262965,2,2,3,5,2,2,1,50,55,1
36698,0.431256721,0.561443204,1,60.63950275,1,1,3,2,1,2,1,63,28,1
36700,0.630457652,0.573279109,-1,?,4,2,3,1,2,?,1,56,57,1
36701,0.835434324,0.639774594,0,?,3,4,2,3,1,2,1,80,16,1
36702,0.628987864,0.450575036,-1,81.27810751,2,0,2,3,2,2,?,15,48,1
36703,0.475386199,0.654071075,1,?,2,0,1,4,3,?,1,?,25,1
36705,0.510773534,0.530103827,0,67.72479348,?,0,1,3,3,2,1,30,?,1
36707,0.435694393,0.669310168,-1,61.17527689,?,3,1,1,2,3,0,41,-28,1
36708,0.431973355,0.351341951,1,60.91280826,1,0,2,4,2,3,1,37,55,1
36709,0.721328308,0.448506699,-1,61.23535899,2,2,5,2,2,3,1,76,36,1
36710,0.066430891,0.373462173,-1,75.04059306,2,0,3,5,2,2,1,53,57,1
36713,0.608118897,0.42047371,-1,56.1795065,4,2,5,4,3,3,0,41,18,1
36716,0.617172786,0.382928651,-1,70.29419993,2,2,4,1,?,1,1,?,22,1
36717,0.697092484,0.658353917,1,62.60049213,1,1,5,4,3,3,1,47,46,1
36718,0.355701436,0.535107873,0,60.03985154,2,0,5,1,3,2,0,59,40,1
36723,0.631720687,0.7399698,0,59.91074837,3,2,5,3,2,1,1,29,4,1
36726,0.601659141,0.341992977,0,51.40603326,5,0,5,3,2,3,0,52,32,1
36728,0.5284645,0.288998382,-1,67.27986564,2,2,1,4,3,2,?,45,45,1
36729,0.718902085,0.432054557,-1,71.14169156,2,1,4,1,2,2,1,55,45,1
36730,0.403480906,?,-1,63.44557136,2,2,1,4,?,1,0,30,34,1
36732,0.580368141,0.556023652,1,61.62974049,0,2,3,2,3,3,1,77,23,1
36734,0.273130597,0.347076795,-1,66.66845178,1,1,5,1,3,2,1,53,47,1
36736,0.804816473,0.826243306,-1,62.13935427,2,0,1,3,1,3,0,41,62,1
36737,0.612973948,0.312463904,-1,62.43379611,0,1,?,2,3,?,?,75,18,1
36739,0.304930108,0.571083879,-1,67.31220002,2,1,1,1,2,2,0,25,55,1
36741,0.591767828,0.611982922,0,61.69839513,1,0,5,?,3,2,0,37,73,1
36744,0.705227742,0.635011213,0,67.30771577,2,1,3,5,?,2,1,59,66,1
36746,0.251553668,0.899082652,0,54.12184834,0,?,5,5,2,3,0,57,?,1
36748,0.105009207,0.38995488,0,55.50404638,3,3,2,4,1,4,0,69,33,1
36750,0.560485287,0.642424307,1,74.09076629,4,2,4,5,2,3,0,53,32,1
36753,0.471550151,0.701526735,-1,65.96786478,2,2,5,?,3,4,0,57,?,1
36754,0.328774983,0.652858754,-1,62.02049755,1,2,2,2,?,3,0,56,23,1
36755,0.263003604,0.481841019,1,68.16001242,2,2,1,3,4,0,1,46,24,1
36756,0.432046409,0.709748,-1,59.87664345,2,?,4,5,2,5,0,46,46,1
36758,0.464312012,0.505988256,-1,79.43770659,2,1,3,3,3,1,0,49,72,1
36759,0.553785354,0.668783914,-1,71.98465526,2,1,2,5,3,2,0,42,64,1
36760,0.184626248,0.191262169,-1,66.10305221,2,2,1,2,2,1,0,12,46,1
36764,0.559562916,0.276616991,0,56.94000084,3,0,5,3,2,4,0,45,31,1
36765,0.513268347,0.571268519,?,68.45120578,1,1,1,1,?,2,1,30,61,1
36767,0.70869696,0.481622652,0,59.94171762,2,3,4,5,4,?,1,66,21,1
36768,0.290071549,0.767171161,-1,62.33781584,0,2,4,4,3,1,0,52,15,1
36770,0.312319646,?,-1,66.98993837,3,0,2,4,2,2,0,67,82,1
36774,0.050162507,0.241219571,0,50.31099606,2,2,2,5,3,2,0,38,53,1
36775,0.585770316,0.456748898,0,68.7769501,2,3,1,5,3,2,0,66,9,1
36778,0.799455193,0.423623994,-1,72.60440598,1,1,2,2,2,2,0,6,8,1
36779,0.578110494,0.660202726,0,54.59501383,2,1,2,4,2,3,1,59,52,1
36780,0.336207051,0.611724679,1,59.84843515,0,1,2,1,2,0,1,83,16,1
36781,0.186732379,0.345121738,1,57.32522229,3,?,4,2,2,3,0,35,86,1
36782,0.465715165,0.555275448,0,62.27174686,2,2,?,2,3,6,0,83,74,1
36785,0.403748812,0.438600459,0,74.25594722,3,0,4,4,3,1,1,74,46,1
36786,0.41846058,0.848368312,?,59.53411184,2,1,4,2,3,2,1,73,25,1
36789,0.825780158,0.80544416,0,65.90349253,1,0,3,3,0,?,0,11,27,1
36793,0.466169706,0.535217988,?,67.88086352,2,2,5,4,3,?,1,38,51,1
36794,0.391114506,0.329191057,0,73.94004691,2,1,1,2,3,2,0,77,57,1
36795,0.568981418,0.763802107,0,54.10481292,?,2,?,1,2,2,1,30,36,1
36797,0.376971306,0.445560261,0,60.66123156,1,1,2,1,3,2,1,39,72,1
36801,0.35331118,0.619090147,-1,63.15250424,3,3,1,4,2,3,0,60,?,1
36802,0.573947444,0.766191652,0,57.3583876,2,2,5,5,5,1,?,21,53,1
36803,0.033954742,0.638242698,0,57.98739643,0,2,4,3,4,2,0,86,37,1
36804,0.247132198,0.499796465,0,75.30541211,2,1,?,2,?,3,?,43,44,1
36807,0.505800402,0.335409954,1,66.07727965,3,1,4,5,?,2,0,73,77,1
36809,0.650751485,0.705572598,1,54.91534991,0,1,1,3,2,2,1,80,33,1
36810,0.316744898,1.027878259,0,71.03038585,0,2,1,1,2,?,0,?,28,1
36811,0.837829487,0.461269967,0,59.6038214,3,0,5,5,3,3,0,?,8,1
36812,0.458079207,0.70186371,1,68.06999857,2,1,3,3,2,2,0,68,53,1
36814,0.245628998,0.564509157,-1,71.11012846,1,2,1,4,3,2,1,70,45,1
36815,0.766001283,0.560963282,0,61.54848732,2,1,5,2,3,3,0,51,59,1
36816,0.691040571,0.843803826,-1,66.44993727,2,2,2,4,4,3,1,34,?,1
36819,?,0.451483623,1,66.79592187,1,0,3,4,5,3,0,23,-3,1
36820,0.61643817,0.466935966,1,58.89991112,2,2,4,1,3,-1,1,34,42,1
36821,0.86390625,0.732348046,1,60.73740668,2,2,3,1,4,2,1,58,30,1
36822,0.726950893,0.812031831,1,43.08299498,1,1,5,4,5,3,0,32,33,1
36823,0.407693948,0.5114128,-1,57.87785013,1,2,3,2,4,?,1,56,37,1
36824,0.241418555,0.236727267,0,68.23559358,3,1,3,5,3,2,0,52,48,1
36825,0.438002154,0.56333896,-1,61.8759303,3,1,1,3,2,4,0,60,40,1
36827,?,0.792907605,-1,56.06905174,2,3,3,2,3,2,0,100,25,1
36828,0.319461581,0.512163745,1,?,1,3,2,2,2,4,1,79,39,1
36829,0.34885065,0.148593205,1,55.2997714,1,1,2,3,3,3,1,?,29,1
36831,0.182661226,0.621735147,0,61.19943875,2,1,4,3,3,3,0,53,41,1
36832,0.406502663,0.604349688,1,58.63905051,1,?,1,2,3,2,0,77,14,1
36833,0.359073452,0.621701765,0,71.10528273,2,1,3,5,?,2,0,?,1,1
36837,0.381446282,0.260804392,-1,61.81233418,4,0,1,3,3,3,1,64,68,1
36838,0.500497798,0.484429601,-1,62.83796029,2,0,3,2,?,4,0,91,17,1
36840,0.469126458,0.419887378,-1,66.44347433,2,1,5,5,1,2,?,69,66,1
36841,0.499767574,0.630117322,0,57.83041252,2,1,?,5,2,3,0,52,16,1
36843,0.527267824,0.345035517,-1,66.61050321,3,2,3,4,3,3,1,73,47,1
36845,0.548877987,0.424901031,?,82.99207271,1,-1,5,5,3,3,1,73,29,1
36847,0.25887151,0.435132918,0,71.39841941,2,1,5,3,4,3,1,46,?,1
36848,0.663822167,0.476595318,-1,78.64326575,3,-1,3,1,3,2,0,41,58,1
36849,0.696216005,0.528759835,0,73.35956502,2,2,4,5,?,4,1,42,81,1
36853,0.634456263,0.597330983,-1,58.22646052,2,2,4,5,2,3,1,?,25,1
36855,0.597833155,0.428907202,0,56.27190868,2,1,4,4,2,3,1,74,33,1
36858,?,0.546231775,-1,70.20225965,1,1,1,1,3,2,?,60,30,1
36860,0.634608208,0.404757207,0,72.7151789,1,1,?,4,3,4,0,60,43,1
36861,0.324971515,0.257932989,-1,73.85182615,1,1,2,1,3,1,1,56,72,1
36864,0.073216694,0.586983323,1,69.78260842,4,0,2,4,3,6,0,47,?,1
36865,0.653613588,0.595621818,1,44.39132443,2,2,5,1,2,3,1,43,27,1
36866,0.360712691,0.556577688,1,54.20755534,2,1,5,?,2,3,1,84,-2,1
36867,0.253051283,0.585610149,1,52.34826031,1,1,4,5,?,2,0,83,31,1
36868,0.39851889,0.9638048,-1,69.93328757,2,2,1,2,?,2,0,32,52,1
36872,0.820551731,0.297762205,-1,68.17491566,2,-1,4,5,4,2,0,51,32,1
36874,0.351533871,0.457987639,0,65.02864787,2,2,?,2,4,0,0,74,73,1
36876,0.569687107,0.385191375,-1,73.88458941,2,1,5,?,2,2,1,38,61,1
36877,0.424990808,0.904084777,1,63.37286484,0,0,2,3,3,1,0,62,42,1
36878,0.61800464,0.37403915,-1,61.65900204,2,1,2,3,?,3,0,21,54,1
36879,0.378486794,0.378082192,-1,60.54449321,2,1,3,3,4,1,1,96,22,1
36881,0.517135326,0.381937327,1,56.06815825,2,1,5,4,2,2,0,48,37,1
36884,0.500344248,0.529950346,-1,62.16276457,1,1,1,2,-1,3,0,81,?,1
36885,0.737070847,0.564797943,-1,60.39865413,2,2,1,4,1,3,1,60,64,1
36886,-0.070266984,?,0,51.22181892,3,1,1,?,4,1,1,62,55,1
36887,0.417112639,0.512093974,-1,76.56810651,2,1,1,2,2,4,1,8,59,1
36889,0.72378408,0.724269384,-1,62.00137687,2,0,2,4,3,3,0,19,31,1
36890,0.72635551,0.707373325,1,72.38486194,2,2,4,3,3,4,1,23,24,1
36891,0.82542271,0.611834254,1,57.07046278,2,0,3,4,2,2,1,43,?,1
36892,0.194935316,0.379342953,-1,56.51932047,2,2,1,1,3,2,1,7,?,1
36893,0.39297559,0.538826484,0,55.42529035,3,2,3,1,?,1,0,37,44,1
36894,0.322760178,0.501803644,-1,66.84624849,3,-1,2,2,4,4,0,37,?,1
36896,0.455517741,0.424673421,0,57.290759,1,-1,4,3,2,3,0,32,76,1
36897,0.708630219,0.466982009,-1,?,0,1,2,3,2,1,1,64,26,1
36898,0.322503776,0.475985923,?,62.79304556,2,1,4,3,2,2,?,60,64,1
36900,?,0.251985294,1,68.63026712,0,0,2,1,2,2,0,62,-6,1
36901,0.381270671,0.81183801,1,67.96277225,3,1,1,5,1,2,0,50,4,1
36903,0.639164099,0.589149796,-1,53.49720774,3,2,2,?,2,0,1,53,55,1
36904,0.508058371,0.488409807,0,57.35316328,2,1,4,2,4,2,0,49,57,1
36905,0.417949912,0.425764564,0,64.92987344,0,0,2,4,1,3,0,44,58,1
36906,0.248430024,?,0,67.29042177,2,0,2,4,3,4,0,35,56,1
36907,0.400132052,0.569572537,-1,52.3043322,2,2,3,2,3,3,1,27,35,1
36910,0.635908445,0.531373729,1,61.57832617,1,1,2,1,4,1,0,?,42,1
36912,0.288095201,0.2523852,1,69.51275176,1,2,3,2,3,2,?,83,2,1
36915,0.196167637,0.819984607,0,48.56922399,2,0,1,3,3,4,0,50,34,1
36916,0.489672342,0.601457895,0,72.38739454,3,3,4,1,3,3,1,36,27,1
36917,?,0.55181464,-1,75.87627986,3,2,2,2,0,3,1,54,46,1
36918,0.263275412,0.781298915,0,63.63629301,1,2,3,3,2,5,0,85,25,1
36919,0.219915639,0.522433169,0,58.7851642,2,0,4,5,3,2,0,72,71,1
36921,0.542492514,0.855106231,1,71.1453216,2,0,1,2,3,2,1,69,31,1
36922,0.436929368,0.671666268,?,73.21245808,3,3,2,4,2,2,1,77,80,1
36923,0.400233972,0.384149045,1,56.69566909,3,2,5,1,1,3,1,78,40,1
36924,0.649136072,0.729170902,0,70.35871151,3,3,2,5,1,3,0,35,?,1
36925,0.704986002,-0.03952066,0,57.36073499,2,2,4,4,2,2,0,53,72,1
36926,0.36982035,0.391997286,0,55.16341074,3,1,2,4,4,3,1,68,65,1
36928,0.698322365,0.423330608,1,64.54636683,1,1,2,2,3,4,0,40,?,1
36929,0.730771938,0.524702564,0,65.6810736,2,0,2,3,2,3,1,40,71,1
36931,0.103441637,0.471910258,-1,64.94510022,2,2,5,5,3,2,1,71,41,1
36932,0.341327964,0.542354197,1,62.35696121,0,0,?,5,3,?,?,50,72,1
36936,0.32462646,0.435716949,1,69.17118211,2,2,5,1,?,4,1,64,47,1
36938,0.00285429,0.572627262,0,50.1430953,2,0,1,1,2,1,0,31,?,1
36939,0.593035128,0.619884647,0,65.16673696,2,2,?,3,4,3,?,60,66,1
36940,?,0.646533411,-1,57.37921446,1,1,4,3,2,4,0,42,50,1
36941,0.355686717,0.415270577,0,67.86002939,3,2,5,3,2,2,0,33,44,1
36942,?,0.197467836,-1,69.94211368,1,1,1,4,3,1,0,52,47,1
36943,0.639596661,0.576472719,-1,65.96938393,2,1,3,4,1,2,?,77,49,1
36951,0.634800252,0.513502925,0,53.82297413,3,3,1,3,2,3,0,35,39,1
36954,0.514385139,0.39068654,0,59.90093364,1,1,3,5,3,2,0,42,61,1
36955,0.595326809,0.665334388,1,52.0700529,2,0,5,1,?,3,0,78,28,1
36956,0.340422706,0.368819815,0,58.39965217,3,2,3,2,2,3,0,75,27,1
36957,0.530797748,?,-1,47.38207713,2,2,2,3,3,1,0,55,53,1
36960,0.542369269,0.638770351,0,61.17850301,3,1,4,5,4,2,0,28,?,1
36963,0.148918709,0.214028486,-1,60.03881936,2,2,5,2,2,4,1,36,-9,1
36964,0.464673271,0.521817706,-1,61.01464617,2,0,4,1,5,2,0,59,78,1
36966,0.60250676,0.713501705,0,56.94012347,1,-1,2,4,2,1,0,48,39,1
36967,0.542753522,0.511349241,-1,74.21570783,3,0,2,4,2,2,1,19,63,1
36968,0.317150712,0.520450925,1,66.36302586,1,1,3,2,3,4,0,74,12,1
36970,0.241075884,-0.011138978,0,57.35285707,1,0,2,1,3,4,0,45,52,1
36972,0.608176297,0.560074233,1,67.14304243,1,1,1,2,4,3,0,68,46,1
36973,0.30301034,0.487172176,-1,?,2,1,?,3,3,4,1,58,?,1
36974,0.476014399,0.486940597,-1,62.72411336,1,-1,3,2,1,4,1,40,59,1
36975,0.421247325,0.450995982,0,74.21024793,2,0,2,5,?,2,1,22,?,1
